Bore ID,Name,Bore report,Yield (L/s),Completion date,Drilled depth (m),Completion depth (m),Depth to water (m) at date of drilling,Purpose,Construction,Status,Latitude,Longitude,UTM zone,Easting,Northing,Position accuracy,Water data portal
RN005723,Monitoring Bore Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN005723,8.4,0,61,0,0,Monitoring,0,Current,-22.201708,133.413716,53,336480,7543991,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN005723/Interval/Latest
RN006543,Monitoring Bore Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN006543,3.8,0,91.7,91.7,0,Monitoring,0,Current,-22.23014,133.401658,53,335270,7540830,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN006543/Interval/Latest
RN012156,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012156,6,0,72.9,72.9,0,Monitoring,Constructed&Capped,Current,-22.353915,133.649125,53,360901,7527375,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN012156/Interval/Latest
RN012581,Woodgreen Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012581,10,0,162.6,162.6,0,Monitoring,Constructed&Capped,Current,-22.43375,133.752072,53,371576,7518628,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN012581/Interval/Latest
RN012594,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012594,5,0,110.1,0,0,Monitoring,Constructed&Capped,Current,-22.186751,133.946448,53,391390,7546125,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN012594/Interval/Latest
RN013931,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN013931,10,0,90,0,0,Monitoring,Constructed&Capped,Current,-22.368418,133.5957,53,355414,7525719,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN013931/Interval/Latest
RN014409,Monitoring Bore Territory Grape Farm,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014409,7,0,69,65,16.4,Monitoring,Constructed&Capped,Current,-22.449311,133.659504,53,362064,7516823,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN014409/Interval/Latest
RN016680,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016680,10,0,77.5,77.5,0,Monitoring,Constructed&Capped,Current,-22.282082,133.557899,53,351430,7535241,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016680/Interval/Latest
RN016682,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016682,5,0,59.5,53.9,36.39,Monitoring,Constructed&Capped,Current,-22.282051,133.319076,53,326821,7534990,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016682/Interval/Latest
RN016684,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016684,0.2,0,106.6,106.2,0,Monitoring,Constructed&Capped,Current,-22.282062,133.249187,53,319619,7534907,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016684/Interval/Latest
RN016704,Ti Tree Monitoring Bore,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016704,10,0,59.5,59.4,26.9,Monitoring,Constructed&Capped,Current,-22.241663,133.424608,53,337649,7539579,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016704/Interval/Latest
RN017403,Monitoring Bore Ahakeye Land Trust,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017403,5,0,66.6,53.6,7.02,Monitoring,Constructed&Capped,Current,-22.259064,133.805728,53,376945,7538012,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN017403/Interval/Latest
