Bore no,Name,Bore report,Yield (L/s),Completion date,Drilled depth (m),Completion depth (m),Depth to water (m) at date of drilling,Purpose,Construction,Status,Latitude,Longitude,UTM zone,Easting,Northing,Position accuracy,Water data portal
RN016704,Ti Tree Monitoring Bore,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016704,10,00:00.0,59.5,59.4,26.9,Monitoring,Constructed&Capped,Current,-22.241663,133.424608,53,337649,7539579,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016704/Interval/Latest
RN016705,Ti Tree Monitoring Bore,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016705,3,00:00.0,56.4,56.3,28.6,Monitoring,Constructed&Capped,Current,-22.251034,133.412191,53,336380,7538528,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016705/Interval/Latest
RN012156,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012156,6,00:00.0,72.9,72.9,0,Monitoring,Constructed&Capped,Current,-22.353915,133.649125,53,360901,7527375,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN012156/Interval/Latest
RN012154,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012154,3.5,00:00.0,98.8,0,0,Monitoring,Constructed&Capped,Current,-22.366488,133.485763,53,344091,7525823,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN012154/Interval/Latest
RN016682,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016682,5,00:00.0,59.5,53.9,36.39,Monitoring,Constructed&Capped,Current,-22.282051,133.319076,53,326821,7534990,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016682/Interval/Latest
RN016681,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016681,5,00:00.0,65.5,52.6,22.03,Monitoring,Constructed&Capped,Current,-22.281922,133.488684,53,344298,7535189,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016681/Interval/Latest
RN016680,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016680,10,00:00.0,77.5,77.5,,Monitoring,Constructed&Capped,Current,-22.282082,133.557899,53,351430,7535241,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016680/Interval/Latest
RN016686,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016686,5,00:00.0,65.6,64,28.65,Monitoring,Constructed&Capped,Current,-22.405242,133.237129,53,318536,7521253,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016686/Interval/Latest
RN016685,Pine Hill Station,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016685,0.4,00:00.0,107.7,107.2,60.18,Monitoring,Constructed&Capped,Current,-22.442128,133.354616,53,330677,7517306,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016685/Interval/Latest
RN016684,Ti Tree Area,http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016684,0.2,00:00.0,106.6,106.2,0,Monitoring,Constructed&Capped,Current,-22.282062,133.249187,53,319619,7534907,GPS,https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016684/Interval/Latest
