#Data Set Export - Water Elevation (AHD).Field Visits@RN005723,,,,
Latest telemetry data is sourced directly from logging devices and is unverified. No guarantee is made as to the accuracy or reliability of the data until it is approved. Use with caution.,,,,
Timestamp (UTC+09:30),Event Timestamp (UTC+09:30),Value (m),,
21/02/1967 0:00,,548.18,,
14/03/1967 0:00,,548.43,,
4/04/1967 0:00,,548.41,,
19/04/1967 0:00,,548.4,,
3/05/1967 0:00,,548.42,,
19/05/1967 0:00,,548.43,,
7/06/1967 0:00,,548.42,,
21/06/1967 0:00,,548.42,,
5/07/1967 0:00,,548.41,,
2/08/1967 0:00,,548.43,,
24/10/1967 0:00,,548.47,,
13/06/1968 0:00,,548.56,,
17/09/1968 0:00,,548.61,,
27/11/1968 0:00,,548.66,,
19/02/1969 0:00,,548.71,,
9/05/1969 0:00,,548.7,,
21/08/1969 0:00,,547.98,,
25/11/1969 0:00,,547.99,,
28/05/1970 0:00,,547.97,,
14/07/1970 0:00,,547.95,,
23/09/1970 0:00,,547.98,,
18/11/1970 0:00,,547.95,,
7/10/1971 0:00,,547.89,,
25/05/1973 0:00,,547.96,,
11/10/1973 0:00,,547.95,,
20/08/1975 0:00,,549.06,,
22/10/1975 0:00,,549.69,,
28/11/1975 0:00,,549.7,,
9/03/1976 0:00,,549.76,,
1/05/1976 0:00,,549.74,,
25/07/1976 0:00,,549.75,,
7/09/1976 0:00,,549.74,,
28/10/1976 0:00,,549.73,,
14/03/1977 0:00,,550.1,,
21/06/1977 0:00,,550.19,,
11/08/1977 0:00,,550.24,,
20/09/1977 0:00,,550.14,,
3/11/1977 0:00,,550.24,,
6/12/1977 0:00,,550.19,,
17/01/1978 0:00,,550.22,,
28/02/1978 0:00,,550.17,,
18/04/1978 0:00,,550.13,,
6/07/1978 0:00,,550.11,,
18/08/1978 0:00,,550.15,,
9/11/1978 0:00,,550.14,,
31/01/1979 0:00,,550.05,,
14/03/1979 0:00,,550,,
1/05/1979 0:00,,549.93,,
13/06/1979 0:00,,549.96,,
27/07/1979 0:00,,549.91,,
14/09/1979 0:00,,549.93,,
1/11/1979 0:00,,549.73,,
4/01/1980 0:00,,549.94,,
12/02/1980 0:00,,549.89,,
10/04/1980 0:00,,549.82,,
12/05/1980 0:00,,549.78,,
4/06/1980 0:00,,549.79,,
19/06/1980 0:00,,549.77,,
5/08/1980 0:00,,549.75,,
9/09/1980 0:00,,549.78,,
22/10/1980 0:00,,549.73,,
1/12/1980 0:00,,549.79,,
12/01/1981 0:00,,549.67,,
17/02/1981 0:00,,549.72,,
6/05/1981 0:00,,549.62,,
10/08/1981 0:00,,549.65,,
19/10/1981 0:00,,549.64,,
25/02/1982 0:00,,549.53,,
6/04/1982 0:00,,549.51,,
20/05/1982 0:00,,549.39,,
24/06/1982 0:00,,549.47,,
12/08/1982 0:00,,549.51,,
23/09/1982 0:00,,549.49,,
4/11/1982 0:00,,549.49,,
16/12/1982 0:00,,549.58,,
27/01/1983 0:00,,549.48,,
21/04/1983 0:00,,549.5,,
2/06/1983 0:00,,549.46,,
14/07/1983 0:00,,549.5,,
25/08/1983 0:00,,549.54,,
6/10/1983 0:00,,549.56,,
17/11/1983 0:00,,549.57,,
12/12/1983 0:00,,549.02,,
20/12/1983 0:00,,549.04,,
28/12/1983 0:00,,549.02,,
4/01/1984 0:00,,549,,
11/01/1984 0:00,,549.07,,
18/01/1984 0:00,,549.01,,
25/01/1984 0:00,,549.09,,
1/02/1984 0:00,,549.02,,
8/02/1984 0:00,,549.03,,
15/02/1984 0:00,,549.05,,
16/02/1984 0:00,,549.07,,
22/02/1984 0:00,,549.02,,
29/02/1984 0:00,,549.02,,
7/03/1984 0:00,,549.03,,
14/03/1984 0:00,,549.02,,
21/03/1984 0:00,,549.05,,
25/03/1984 0:00,,549,,
28/03/1984 0:00,,549,,
4/04/1984 0:00,,549.03,,
11/04/1984 0:00,,549.05,,
18/04/1984 0:00,,549.04,,
25/04/1984 0:00,,549,,
2/05/1984 0:00,,549.04,,
9/05/1984 0:00,,549.04,,
16/05/1984 0:00,,549.05,,
23/05/1984 0:00,,549.03,,
30/05/1984 0:00,,549.03,,
6/06/1984 0:00,,549.04,,
13/06/1984 0:00,,549.03,,
20/06/1984 0:00,,549.04,,
27/06/1984 0:00,,549.05,,
4/07/1984 0:00,,549.05,,
11/07/1984 0:00,,549.06,,
18/07/1984 0:00,,549.06,,
25/07/1984 0:00,,549.04,,
1/08/1984 0:00,,549.04,,
8/08/1984 0:00,,549.1,,
15/08/1984 0:00,,549.07,,
18/08/1984 0:00,,549.04,,
22/08/1984 0:00,,549.07,,
29/08/1984 0:00,,549.05,,
5/09/1984 0:00,,549.05,,
6/09/1984 0:00,,549.09,,
12/09/1984 0:00,,549.09,,
19/09/1984 0:00,,549.07,,
26/09/1984 0:00,,549.08,,
3/10/1984 0:00,,549.09,,
10/10/1984 0:00,,549.06,,
