#Data Set Export - Water Elevation (AHD).Field Visits@RN012581,,
Latest telemetry data is sourced directly from logging devices and is unverified. No guarantee is made as to the accuracy or reliability of the data until it is approved. Use with caution.,,
Timestamp (UTC+09:30),Event Timestamp (UTC+09:30),Value (m)
1980-03-23 00:00:00,,538.6
1987-05-20 00:00:00,,539.46
1990-06-06 00:00:00,,539.47
1990-11-28 00:00:00,,539.36
1991-03-13 00:00:00,,539.38
1991-06-05 00:00:00,,539.48
1991-11-27 00:00:00,,539.45
1992-06-03 00:00:00,,539.4300000000001
1992-12-08 00:00:00,,539.48
1993-12-07 00:00:00,,539.4
1994-06-07 00:00:00,,539.39
1994-12-07 00:00:00,,539.4
1995-06-20 00:00:00,,539.25
1995-11-30 00:00:00,,539.32
1996-06-25 00:00:00,,539.3100000000001
1996-11-28 00:00:00,,539.3100000000001
1997-05-15 00:00:00,,539.22
1997-11-19 00:00:00,,539.13
1998-06-03 00:00:00,,539.2
1998-12-16 00:00:00,,539.09
1999-08-12 00:00:00,,539.15
2000-09-01 00:00:00,,539.21
2001-02-23 00:00:00,,539.22
2004-03-25 00:00:00,,539.19
2005-05-05 10:20:00,,539.0600000000001
2007-05-31 11:05:00,,539.08
2008-09-03 11:59:00,,539.03
2009-10-28 12:40:00,,539.09
2010-12-02 14:41:00,,539.15
2011-07-28 15:13:00,,539.14
2012-06-21 14:21:00,,539.08
2013-03-14 12:18:00,,539.0600000000001
2014-09-11 12:40:00,,538.98
2024-08-28 11:56:00,,538.97
2024-12-12 09:53:00,,538.88
