#Data Set Export - Depth Below Ground.Field Visits@RN014409,,
Latest telemetry data is sourced directly from logging devices and is unverified. No guarantee is made as to the accuracy or reliability of the data until it is approved. Use with caution.,,
Timestamp (UTC+09:30),Event Timestamp (UTC+09:30),Value (m)
1985-09-18 00:00:00,,-16.89
1985-09-23 00:00:00,,-16.87
1985-09-30 00:00:00,,-16.95
1985-10-07 00:00:00,,-16.96
1985-10-14 00:00:00,,-17.06
1985-10-21 00:00:00,,-16.9
1985-10-23 00:00:00,,-16.93
1985-10-28 00:00:00,,-16.9
1985-11-04 00:00:00,,-16.91
1985-11-11 00:00:00,,-16.93
1985-11-18 00:00:00,,-16.95
1985-11-25 00:00:00,,-16.92
1985-12-02 00:00:00,,-16.91
1985-12-09 00:00:00,,-16.9
1985-12-11 00:00:00,,-16.9
1985-12-16 00:00:00,,-16.93
1985-12-23 00:00:00,,-16.95
1985-12-30 00:00:00,,-16.92
1986-01-07 00:00:00,,-16.94
1986-01-13 00:00:00,,-16.98
1986-01-20 00:00:00,,-16.96
1986-01-27 00:00:00,,-16.95
1986-01-29 00:00:00,,-16.97
1986-02-03 00:00:00,,-16.98
1986-02-10 00:00:00,,-16.99
1986-02-17 00:00:00,,-17.03
1986-02-24 00:00:00,,-17.01
1986-03-03 00:00:00,,-17.05
1986-03-10 00:00:00,,-17.1
1986-03-17 00:00:00,,-17.07
1986-03-24 00:00:00,,-17.07
1986-03-31 00:00:00,,-17.1
1986-04-07 00:00:00,,-17.07
1986-04-14 00:00:00,,-17.08
1986-04-21 00:00:00,,-17.07
1986-04-28 00:00:00,,-17
1986-05-05 00:00:00,,-17.12
1986-05-12 00:00:00,,-17.11
1986-05-19 00:00:00,,-17.14
1986-05-21 00:00:00,,-17.1
1986-05-26 00:00:00,,-17.14
1986-06-02 00:00:00,,-17.1
1986-06-10 00:00:00,,-17.08
1986-06-16 00:00:00,,-17.08
1986-06-23 00:00:00,,-17.12
1986-06-30 00:00:00,,-17.07
1986-07-07 00:00:00,,-17.09
1986-07-14 00:00:00,,-17.09
1986-07-21 00:00:00,,-17.09
1986-07-28 00:00:00,,-17.17
1986-08-05 00:00:00,,-17.15
1986-08-12 00:00:00,,-17.1
1986-08-18 00:00:00,,-17.19
1986-08-25 00:00:00,,-17.17
1986-09-02 00:00:00,,-17.19
1986-09-08 00:00:00,,-17.15
1986-09-15 00:00:00,,-17.12
1986-09-22 00:00:00,,-17.15
1986-09-30 00:00:00,,-17.13
1986-10-13 00:00:00,,-17.15
1986-10-21 00:00:00,,-17.17
1986-10-28 00:00:00,,-17.22
1986-11-03 00:00:00,,-17.22
1986-11-10 00:00:00,,-17.2
1986-11-17 00:00:00,,-17.18
1986-11-24 00:00:00,,-17.24
1986-12-02 00:00:00,,-17.25
1986-12-09 00:00:00,,-17.29
1986-12-16 00:00:00,,-17.21
1986-12-21 00:00:00,,-17.27
1986-12-28 00:00:00,,-17.29
1987-01-04 00:00:00,,-17.29
1987-01-12 00:00:00,,-17.3
1987-01-19 00:00:00,,-17.31
1987-01-26 00:00:00,,-17.32
1987-02-02 00:00:00,,-17.32
1987-03-02 00:00:00,,-17.35
1987-03-30 00:00:00,,-17.4
1987-04-27 00:00:00,,-17.43
1987-05-25 00:00:00,,-17.42
1987-06-22 00:00:00,,-17.4
1987-07-20 00:00:00,,-17.46
1987-08-24 00:00:00,,-17.39
1987-09-21 00:00:00,,-17.46
1988-01-11 00:00:00,,-17.59
1988-02-08 00:00:00,,-17.56
1988-03-07 00:00:00,,-17.66
1988-04-04 00:00:00,,-17.69
1988-05-02 00:00:00,,-17.69
1988-05-18 00:00:00,,-17.68
1988-06-06 00:00:00,,-17.7
1988-09-05 00:00:00,,-17.73
1988-10-03 00:00:00,,-17.69
1988-10-31 00:00:00,,-17.77
1988-12-05 00:00:00,,-17.88
1989-01-02 00:00:00,,-17.9
1989-02-03 00:00:00,,-17.95
1989-03-06 00:00:00,,-17.97
1989-04-03 00:00:00,,-18
1989-05-01 00:00:00,,-18.04
1989-06-05 00:00:00,,-18.05
1989-07-03 00:00:00,,-18.01
1989-08-01 00:00:00,,-18.02
1989-09-01 00:00:00,,-18.05
1989-09-30 00:00:00,,-18
1989-10-30 00:00:00,,-18.04
1989-12-04 00:00:00,,-18.11
1989-12-30 00:00:00,,-18.13
1990-01-23 00:00:00,,-18.21
1990-04-01 00:00:00,,-18.22
1990-06-07 00:00:00,,-18.29
1990-06-28 00:00:00,,-18.3
1990-08-04 00:00:00,,-18.27
