"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN003808","Investigation Bore Willowra",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003808,0,1963-06-08 00:00:00.0,28,0,0,"Investigation","Backfilled","Historical",-21.427472,132.620192,53,253328,7628669,"Estimated",
"RN003806","X14 BRUNETTE DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003806,3.9,1963-06-09 00:00:00.0,92.9,92.9,64.6,"Production","Constructed&Capped","Current",-18.313958,136.085893,53,614756,7974737,"GPS",
"RN003807","Investigation Bore Willowra",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003807,0,1963-06-07 00:00:00.0,25.9,0,0,"Investigation","Backfilled","Historical",-21.399501,132.62161,53,253428,7631769,"Estimated",
"RN003797","Advice 3/2 1st Attempt Robbies Bore Ooratippra Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003797,0.7,1962-04-01 00:00:00.0,152.4,0,0,"Production",,"Current",-21.863594,136.433535,53,648123,7581581,"GPS",
"RN003798","DR. ABBOTTS. BILLALUNA S/R 42K N/W OF SANGSTERS RN 3799",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003798,1.3,1962-12-10 00:00:00.0,36.6,36.6,21.3,"Production",,"Current",-20.745527,129.983706,52,602412,7705704,"GPS",
"RN003799","SANGSTERS S/R BORE NOT USED 42K ENE OF DR ABBOTTS RN 37",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003799,2.5,1963-01-01 00:00:00.0,15.5,0,0,"Production",,"Current",-20.833857,130.350327,52,640502,7695651,"GPS",
"RN003800","MCFARLANE PEAK BORE  NOT USED 2K S/E OF RN 14177&5K NTH",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003800,,,54.9,0,,"Unknown",,"Current",-20.365528,129.351445,52,536678,7748029,"GPS",
"RN003801","PEDESTAL HILL NO.2 TRY 8K S/E OF NO1 TRY  NO TRACE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003801,0.2,,76.5,0,,"Production","Abandoned","Historical",-20.580384,129.294892,52,530733,7724264,"Estimated",
"RN003802","PEDESTAL HILL NO.3 TRY 8K S/E OF NO1 TRY  NO TRACE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003802,,,39.6,0,,"Unknown",,"Current",-20.574905,129.326544,52,534033,7724864,"Estimated",
"RN003803","A34/1 MT CAMPBELL (BRIDGED 31M 22.5K N/W OF WODALLA RN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003803,1.3,1962-05-26 00:00:00.0,70.1,0,0,"Production",,"Current",-21.791521,131.883579,52,798170,7587461,"GPS",
"RN003805","NO 4A AVON DOWNS STN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003805,3.12,1963-06-01 00:00:00.0,127.4,127.4,42.6,"Production","Constructed&Capped","Current",-19.632974,137.282713,53,739382,7827530,"GPS",
"RN003818","A9/2 2ND ATT.GEORGINA GAP DUD 2.8KM (W) GEORGINA GAP.N/",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003818,0,1963-04-04 00:00:00.0,5.8,0,0,"Production",,"Current",-23.416742,134.296513,53,428128,7410170,"Estimated",
"RN003819","INVEST.NO.1 LIVINGSTONE GAP DOCKER RIVER     DUD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003819,2.3,1963-05-28 00:00:00.0,35.7,0,0,"Investigation",,"Current",-24.89058,129.100333,52,510133,7247164,"Estimated",
"RN003817","Y34 DRY DUD NO TRACE 220M EAST OF Y33 RN 3816",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003817,0,1963-06-17 00:00:00.0,4.6,0,0,"Investigation","Casing Pulled/Filled","Historical",-22.254432,131.812607,52,789883,7536315,"Estimated",
"RN 43229","Calvert Hills Station, Savannah Way Hwy NT Parcel 668",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN 43229,0.5,2022-10-05 00:00:00.0,42,43,,,"Constructed&Capped","Current",-17.33149,137.121009,53,725409,8082530,"GPS",
"RN000001","REPL. GILLENS BORE=YAMBAH",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000001,0.4,1956-04-17 00:00:00.0,98.6,98.6,44.8,"Production","Abandoned","Historical",-23.085224,133.676756,53,364469,7446432,"GPS",
"RN000002","ALICE WELL BORE N.S.S.R. 30KM (SSE) OF HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000002,2.5,1956-09-21 00:00:00.0,24.4,0,11.6,"Production","Abandoned","Historical",-24.892428,134.228993,53,422129,7246743,"GPS",
"RN000003","FRANCIS WELL BORE No2. 1.3KM (S) OF H/STEAD OPP WELL.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000003,1.2,1956-09-18 00:00:00.0,30.5,0,15.2,"Production","Abandoned","Historical",-24.682155,134.072466,53,406161,7269929,"GPS",
"RN000004","ALUMBARA 2ND ATT. [ABD] 7M (E) OF RN11172.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000004,,1956-03-27 00:00:00.0,53.4,0,,"Production","Abandoned","Historical",-23.170349,131.623098,52,768546,7435203,"GPS",
"RN000005","ALLUMBUARA NO TRACE 10/5/93 32KM (W) OF PAPUNYA.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000005,,1956-01-01 00:00:00.0,63.1,0,,"Production","No Trace","Historical",-23.185148,131.622283,52,768433,7433565,"Estimated",
"RN000006","EKREKARA [PROD-ABD] 8KM (SE) OF PAPUNYA. FIVE MILE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000006,1.5,1956-03-07 00:00:00.0,54.9,0,45.7,"Production","Abandoned","Historical",-23.230027,131.981546,52,805129,7427883,"GPS",
