distance_km,id_or_name,lat,lon,source_file
0.658,RN017272,-22.373283,133.322924,Bores_Ti_Tree.csv
1.198,RN000449,-22.356685,133.323036,Bores_Ti_Tree.csv
1.198,RN011975,-22.356685,133.323036,Bores_Ti_Tree.csv
1.300,RN000450,-22.356691,133.32887,Bores_Ti_Tree.csv
1.780,RN000920,-22.352801,133.330917,Bores_Ti_Tree.csv
2.349,RN018254,-22.346641,133.327937,Bores_Ti_Tree.csv
2.354,RN018327,-22.346587,133.32788,Bores_Ti_Tree.csv
2.357,RN018328,-22.346453,133.327163,Bores_Ti_Tree.csv
2.366,RN018332,-22.346372,133.327212,Bores_Ti_Tree.csv
2.381,RN018141,-22.346241,133.32723,Bores_Ti_Tree.csv
2.383,RN018329,-22.346218,133.327185,Bores_Ti_Tree.csv
2.386,RN018600,-22.346195,133.327201,Bores_Ti_Tree.csv
2.395,RN018601,-22.346124,133.327328,Bores_Ti_Tree.csv
2.401,RN018335,-22.346075,133.327362,Bores_Ti_Tree.csv
2.436,RN018889,-22.345685,133.32677,Bores_Ti_Tree.csv
2.444,RN018888,-22.345642,133.327023,Bores_Ti_Tree.csv
2.448,RN018887,-22.345636,133.327256,Bores_Ti_Tree.csv
2.467,RN018331,-22.348894,133.337066,Bores_Ti_Tree.csv
2.469,RN018602,-22.34658,133.332148,Bores_Ti_Tree.csv
2.469,RN018337,-22.348784,133.336922,Bores_Ti_Tree.csv
2.480,RN018336,-22.346514,133.33225,Bores_Ti_Tree.csv
2.809,RN018607,-22.387781,133.307689,Bores_Ti_Tree.csv
2.817,RN018606,-22.387577,133.307274,Bores_Ti_Tree.csv
2.887,RN018608,-22.393128,133.31991,Bores_Ti_Tree.csv
3.500,RN013433,-22.397518,133.333871,Bores_Ti_Tree.csv
4.419,RN017271,-22.338499,133.353338,Bores_Ti_Tree.csv
5.545,RN017265,-22.406566,133.290453,Bores_Ti_Tree.csv
5.552,RN017273,-22.408335,133.292918,Bores_Ti_Tree.csv
5.733,RN012004,-22.362325,133.379353,Bores_Ti_Tree.csv
6.066,RN018605,-22.314291,133.33723,Bores_Ti_Tree.csv
6.133,RN002401,-22.406135,133.281377,Bores_Ti_Tree.csv
6.133,RN002402,-22.406135,133.281377,Bores_Ti_Tree.csv
6.135,RN015647,-22.406473,133.281713,Bores_Ti_Tree.csv
6.580,RN018603,-22.309568,133.337315,Bores_Ti_Tree.csv
6.602,RN018333,-22.309384,133.337379,Bores_Ti_Tree.csv
6.609,RN018604,-22.309307,133.337328,Bores_Ti_Tree.csv
7.017,RN018891,-22.306166,133.340248,Bores_Ti_Tree.csv
7.017,RN018890,-22.306233,133.340548,Bores_Ti_Tree.csv
7.425,RN014777,-22.421529,133.366211,Bores_Ti_Tree.csv
7.451,RN013781,-22.422835,133.36463,Bores_Ti_Tree.csv
7.998,RN015646,-22.298778,133.347088,Bores_Ti_Tree.csv
8.887,RN016685,-22.442128,133.354616,Bores_Ti_Tree.csv
9.351,RN017270,-22.303154,133.382502,Bores_Ti_Tree.csv
9.496,RN005643,-22.286421,133.353095,Bores_Ti_Tree.csv
9.506,RN016682,-22.282051,133.319076,Bores_Ti_Tree.csv
9.690,RN001846,-22.332548,133.237528,Bores_Ti_Tree.csv
9.860,RN016686,-22.405242,133.237129,Bores_Ti_Tree.csv
9.870,RN003978,-22.327074,133.409359,Bores_Ti_Tree.csv
10.378,RN001847,-22.319191,133.237492,Bores_Ti_Tree.csv
10.378,RN014555,-22.319191,133.237492,Bores_Ti_Tree.csv
10.658,RN016087,-22.311966,133.4084,Bores_Ti_Tree.csv
11.586,RN012005,-22.299399,133.409197,Bores_Ti_Tree.csv
11.670,RN014025,-22.454187,133.259993,Bores_Ti_Tree.csv
11.914,RN005589,-22.298028,133.412124,Bores_Ti_Tree.csv
12.207,RN010502,-22.350721,133.441199,Bores_Ti_Tree.csv
12.209,RN014024,-22.460307,133.260538,Bores_Ti_Tree.csv
12.212,RN016684,-22.282062,133.249187,Bores_Ti_Tree.csv
12.429,RN005590,-22.291146,133.412202,Bores_Ti_Tree.csv
12.702,RN016683,-22.266826,133.382369,Bores_Ti_Tree.csv
12.784,RN017349,-22.383897,133.446925,Bores_Ti_Tree.csv
13.379,RN017348,-22.404611,133.447632,Bores_Ti_Tree.csv
13.439,RN018594,-22.282629,133.416978,Bores_Ti_Tree.csv
13.531,RN005569,-22.277383,133.412358,Bores_Ti_Tree.csv
13.725,RN012626,-22.285341,133.423526,Bores_Ti_Tree.csv
14.112,RN005585,-22.270502,133.412435,Bores_Ti_Tree.csv
14.296,RN017266,-22.242897,133.358416,Bores_Ti_Tree.csv
14.313,RN013156,-22.492076,133.289133,Bores_Ti_Tree.csv
14.319,RN017264,-22.281513,133.427569,Bores_Ti_Tree.csv
14.326,RN018356,-22.268831,133.413523,Bores_Ti_Tree.csv
14.477,RN017269,-22.267236,133.413753,Bores_Ti_Tree.csv
14.777,RN005568,-22.263635,133.413583,Bores_Ti_Tree.csv
15.084,RN018163,-22.502939,133.330623,Bores_Ti_Tree.csv
15.322,RN005631,-22.256739,133.412591,Bores_Ti_Tree.csv
15.322,RN005636,-22.256739,133.412591,Bores_Ti_Tree.csv
15.422,RN017233,-22.250406,133.404349,Bores_Ti_Tree.csv
15.679,RN012398,-22.289059,133.450602,Bores_Ti_Tree.csv
15.683,RN015980,-22.250792,133.409603,Bores_Ti_Tree.csv
15.813,RN016705,-22.251034,133.412191,Bores_Ti_Tree.csv
15.901,RN015682,-22.250627,133.413049,Bores_Ti_Tree.csv
15.948,RN005567,-22.249858,133.412668,Bores_Ti_Tree.csv
15.984,RN015683,-22.250854,133.414791,Bores_Ti_Tree.csv
16.148,RN016968,-22.251071,133.417799,Bores_Ti_Tree.csv
16.166,RN015684,-22.251012,133.418011,Bores_Ti_Tree.csv
16.211,RN013155,-22.512107,133.304439,Bores_Ti_Tree.csv
16.278,RN016308,-22.249708,133.41794,Bores_Ti_Tree.csv
16.344,RN016948,-22.244823,133.411514,Bores_Ti_Tree.csv
16.363,RN016949,-22.24094,133.405164,Bores_Ti_Tree.csv
16.388,RN012894,-22.244438,133.411662,Bores_Ti_Tree.csv
16.398,RN014881,-22.249582,133.419702,Bores_Ti_Tree.csv
16.461,RN018162,-22.443475,133.1865,Bores_Ti_Tree.csv
16.466,RN002400,-22.367736,133.484011,Bores_Ti_Tree.csv
16.497,RN019210,-22.367937,133.48431,Bores_Ti_Tree.csv
16.510,RN016902,-22.248372,133.419779,Bores_Ti_Tree.csv
16.514,RN014882,-22.248411,133.419903,Bores_Ti_Tree.csv
16.586,RN005726,-22.242976,133.412746,Bores_Ti_Tree.csv
16.601,RN015041,-22.24582,133.417499,Bores_Ti_Tree.csv
16.617,RN005725,-22.243172,133.413609,Bores_Ti_Tree.csv
16.627,RN005724,-22.243055,133.41361,Bores_Ti_Tree.csv
16.632,RN006542,-22.242984,133.413582,Bores_Ti_Tree.csv
16.647,RN012154,-22.366488,133.485763,Bores_Ti_Tree.csv
16.661,RN012155,-22.366326,133.485901,Bores_Ti_Tree.csv
16.713,RN016972,-22.239241,133.408705,Bores_Ti_Tree.csv
16.792,RN014883,-22.245568,133.420286,Bores_Ti_Tree.csv
16.810,RN017514,-22.236742,133.406025,Bores_Ti_Tree.csv
16.811,RN011767,-22.242921,133.41658,Bores_Ti_Tree.csv
16.826,RN017697,-22.242777,133.416601,Bores_Ti_Tree.csv
16.859,RN014556,-22.244992,133.420545,Bores_Ti_Tree.csv
16.871,RN012895,-22.239391,133.411874,Bores_Ti_Tree.csv
16.895,RN017515,-22.239595,133.41265,Bores_Ti_Tree.csv
17.020,RN006952,-22.494738,133.231943,Bores_Ti_Tree.csv
17.020,RN010759,-22.494738,133.231943,Bores_Ti_Tree.csv
17.236,RN006543,-22.23014,133.401658,Bores_Ti_Tree.csv
17.236,RN006543 - DBG FV.csv,-22.23014,133.401658,locations_index.csv
17.269,RN015685,-22.242813,133.424052,Bores_Ti_Tree.csv
17.279,RN005524,-22.236092,133.413642,Bores_Ti_Tree.csv
17.354,RN002444,-22.243891,133.426968,Bores_Ti_Tree.csv
17.367,RN012612,-22.500829,133.411763,Bores_Ti_Tree.csv
17.405,RN016704,-22.241663,133.424608,Bores_Ti_Tree.csv
17.459,RN013462,-22.255769,133.443196,Bores_Ti_Tree.csv
17.508,RN015981,-22.24037,133.424398,Bores_Ti_Tree.csv
17.512,RN005634,-22.214772,133.36571,Bores_Ti_Tree.csv
17.626,RN006544,-22.222794,133.393991,Bores_Ti_Tree.csv
17.629,RN012624,-22.494742,133.221661,Bores_Ti_Tree.csv
17.874,RN014098,-22.235663,133.423385,Bores_Ti_Tree.csv
18.280,RN005641,-22.206928,133.285405,Bores_Ti_Tree.csv
18.289,RN002398,-22.502241,133.221944,Bores_Ti_Tree.csv
18.340,RN002399,-22.502801,133.221946,Bores_Ti_Tree.csv
18.589,RN005507,-22.222336,133.41363,Bores_Ti_Tree.csv
19.144,RN001604,-22.291497,133.156838,Bores_Ti_Tree.csv
19.145,RN003511,-22.291569,133.156788,Bores_Ti_Tree.csv
19.210,RN018161,-22.291261,133.156242,Bores_Ti_Tree.csv
19.236,RN014099,-22.223208,133.427133,Bores_Ti_Tree.csv
19.267,RN013924,-22.393565,133.50912,Bores_Ti_Tree.csv
19.303,RN018165,-22.398378,133.139148,Bores_Ti_Tree.csv
19.436,RN016681,-22.281922,133.488684,Bores_Ti_Tree.csv
19.503,RN017268,-22.23188,133.444188,Bores_Ti_Tree.csv
19.691,RN018482,-22.403738,133.511324,Bores_Ti_Tree.csv
19.763,RN005499,-22.222546,133.435151,Bores_Ti_Tree.csv
19.807,RN013461,-22.222341,133.435572,Bores_Ti_Tree.csv
19.827,RN010878,-22.396406,133.133605,Bores_Ti_Tree.csv
19.827,RN001605,-22.396406,133.133605,Bores_Ti_Tree.csv
