#Data Set Export - Depth Below Ground.Field Visits@RN005626,,
Latest telemetry data is sourced directly from logging devices and is unverified. No guarantee is made as to the accuracy or reliability of the data until it is approved. Use with caution.,,
Timestamp (UTC+09:30),Event Timestamp (UTC+09:30),Value (m)
1967-02-21 00:00:00,,-10.83
1967-03-14 00:00:00,,-10.84
1967-04-04 00:00:00,,-10.87
1967-04-19 00:00:00,,-10.87
1967-05-03 00:00:00,,-10.84
1967-05-19 00:00:00,,-10.86
1967-06-07 00:00:00,,-10.84
1967-06-21 00:00:00,,-10.86
1967-07-05 00:00:00,,-10.86
1967-08-02 00:00:00,,-10.87
1967-10-24 00:00:00,,-10.84
1968-06-13 00:00:00,,-10.84
1968-09-17 00:00:00,,-10.8
1968-11-27 00:00:00,,-10.76
1969-02-19 00:00:00,,-10.69
1969-05-09 00:00:00,,-10.64
1969-08-21 00:00:00,,-10.62
1969-11-25 00:00:00,,-10.59
1970-05-28 00:00:00,,-10.6
1970-07-14 00:00:00,,-10.59
1970-09-23 00:00:00,,-10.59
1970-11-18 00:00:00,,-10.6
1973-05-25 00:00:00,,-10.5
1973-10-11 00:00:00,,-10.46
1975-08-20 00:00:00,,-9.36
1975-09-24 00:00:00,,-9.35
1975-10-22 00:00:00,,-9.29
1975-11-28 00:00:00,,-9.29
1976-03-09 00:00:00,,-8.32
1976-03-31 00:00:00,,-8.26
1976-05-01 00:00:00,,-7.93
1976-05-21 00:00:00,,-8.05
1976-06-09 00:00:00,,-8.12
1976-07-25 00:00:00,,-8.1
1976-08-11 00:00:00,,-7.86
1976-09-08 00:00:00,,-7.84
1976-10-28 00:00:00,,-7.86
1977-03-15 00:00:00,,-8.1
1977-06-21 00:00:00,,-7.78
1977-08-11 00:00:00,,-7.8
1977-09-20 00:00:00,,-7.98
1977-11-03 00:00:00,,-7.96
1977-12-06 00:00:00,,-8.06
1978-01-17 00:00:00,,-8.03
1978-02-28 00:00:00,,-8.1
1978-04-18 00:00:00,,-8.15
1978-07-06 00:00:00,,-8.21
1978-08-18 00:00:00,,-8.19
1978-11-09 00:00:00,,-8.32
1979-01-31 00:00:00,,-8.4
1979-03-14 00:00:00,,-8.44
1979-05-01 00:00:00,,-8.45
1979-06-13 00:00:00,,-8.44
